Date,Demand
1/1/1981,0
1/2/1981,43
1/3/1981,59
1/4/1981,133
1/5/1981,70
1/6/1981,131
1/7/1981,33
1/8/1981,5
1/9/1981,109
1/10/1981,22
1/11/1981,118
1/12/1981,210
1/13/1981,40
1/14/1981,54
1/15/1981,7
1/16/1981,174
1/17/1981,343
1/18/1981,56
1/19/1981,18
1/20/1981,197
1/21/1981,32
1/22/1981,37
1/23/1981,34
1/24/1981,213
1/25/1981,82
1/26/1981,15
1/27/1981,65
1/28/1981,23
1/29/1981,64
1/30/1981,33
1/31/1981,130
2/1/1981,164
2/2/1981,12
2/3/1981,237
2/4/1981,63
2/5/1981,64
2/6/1981,248
2/7/1981,20
2/8/1981,56
2/9/1981,148
2/10/1981,39
2/11/1981,47
2/12/1981,32
2/13/1981,6
2/14/1981,87
2/15/1981,121
2/16/1981,51
2/17/1981,25
2/18/1981,273
2/19/1981,24
